ts,role,pid,workingSetMB,privateMB,cpuSec,threads
2026-09-07T10:07:55.9645628+02:00,worker,34104,329.9,1265.6,5,55
2026-09-07T10:07:55.9674257+02:00,worker,43088,112.9,571.1,0.8,23
2026-09-07T10:07:58.0036507+02:00,head,12840,369,695.8,5.6,82
2026-09-07T10:07:58.0056510+02:00,worker,34104,580.2,1651.2,6,52
2026-09-07T10:08:00.0543830+02:00,head,12840,371.8,698.3,5.8,82
2026-09-07T10:08:00.0573761+02:00,worker,34104,1284.2,2026,8.3,76
2026-09-07T10:08:02.1031529+02:00,head,12840,356.7,683.6,5.8,83
2026-09-07T10:08:02.1051527+02:00,worker,34104,3239.8,3785.1,10.5,88
2026-09-07T10:08:04.1394971+02:00,head,12840,356.7,683.6,5.8,82
2026-09-07T10:08:04.1425029+02:00,worker,34104,2987.8,3386.7,13,119
2026-09-07T10:08:06.1837779+02:00,head,12840,356.7,683.6,5.8,82
2026-09-07T10:08:06.1866988+02:00,worker,34104,3595.2,5311.1,14.2,133
2026-09-07T10:08:08.2730631+02:00,head,12840,358.3,685.1,5.9,85
2026-09-07T10:08:08.2790652+02:00,worker,34104,3609.4,5138.1,14.5,131
2026-09-07T10:08:10.3499412+02:00,head,12840,358.4,685.3,5.9,85
2026-09-07T10:08:10.3519516+02:00,worker,34104,3610.5,5138.1,14.5,131
2026-09-07T10:08:12.4156522+02:00,head,12840,358.5,685.4,6,85
2026-09-07T10:08:12.4186455+02:00,worker,34104,3611.5,5138.1,14.5,130
2026-09-07T10:08:14.4615395+02:00,head,12840,358.5,685.4,6,85
2026-09-07T10:08:14.4635390+02:00,worker,34104,3613.1,5138.3,14.6,131
2026-09-07T10:08:16.5082333+02:00,head,12840,358.5,685.4,6,85
2026-09-07T10:08:16.5112393+02:00,worker,34104,3614.1,5138.2,14.6,130
2026-09-07T10:08:18.5627191+02:00,head,12840,365.8,691.5,6.1,60
2026-09-07T10:08:18.5667178+02:00,worker,34104,3622.3,5138.8,14.8,133
2026-09-07T10:08:20.6679925+02:00,head,12840,365.4,690.9,6.1,50
2026-09-07T10:08:20.6710015+02:00,worker,34104,3623.3,5138.7,14.8,131
2026-09-07T10:08:22.7334426+02:00,head,12840,357.4,682.9,6.1,52
2026-09-07T10:08:22.7354402+02:00,worker,34104,3624.4,5138.7,14.8,131
2026-09-07T10:08:24.7864284+02:00,head,12840,357.4,682.8,6.1,51
2026-09-07T10:08:24.7904287+02:00,worker,34104,1929.9,2993.2,15.3,76
